Timestamp,Open,Close,High,Low,Volume,UpDown
2016-01-01 00:00:00,430.89,431.02,432.58,429.82,41.32097223,0
2016-01-01 01:00:00,431.51,430.01,432.01,429.08,31.21223925,1
2016-01-01 02:00:00,430.0,430.57,431.69,430.0,12.24623628,1
2016-01-01 03:00:00,430.5,433.37,433.37,430.03,74.9842536,1
2016-01-01 04:00:00,433.34,435.11,435.72,432.55,870.80343483,1
2016-01-01 05:00:00,435.11,435.4,436.0,434.47,78.52697077,0
2016-01-01 06:00:00,435.44,433.53,435.44,430.08,177.11493724,1
2016-01-01 07:00:00,434.71,434.16,436.0,433.5,158.44554685,0
2016-01-01 08:00:00,433.82,434.08,434.19,431.0,210.58852414,0
2016-01-01 09:00:00,433.99,432.0,433.99,431.23,129.6824317,0
2016-01-01 10:00:00,432.0,431.94,432.0,431.21,138.04564982,1
2016-01-01 11:00:00,431.21,432.72,433.78,431.0,156.52785057,0
2016-01-01 12:00:00,433.62,432.09,433.82,431.87,102.09956264,0
2016-01-01 13:00:00,432.26,428.04,432.4,427.2,202.31909155,1
2016-01-01 14:00:00,428.03,429.8,432.1,428.01,133.14973138,1
2016-01-01 15:00:00,430.7,431.52,434.96,430.58,135.5975875,1
2016-01-01 16:00:00,431.7,433.41,434.98,431.7,157.95386418,0
2016-01-01 17:00:00,433.41,433.0,434.26,432.02,107.09603424,0
2016-01-01 18:00:00,433.77,432.02,434.29,432.0,129.25704906,1
2016-01-01 19:00:00,432.02,433.6,434.0,431.78,137.02702892,0
2016-01-01 20:00:00,433.6,433.0,433.95,432.31,64.18063364,1
2016-01-01 21:00:00,433.95,433.73,435.0,433.0,243.19029797,0
2016-01-01 22:00:00,434.75,433.55,435.0,432.11,210.49223207,1
2016-01-01 23:00:00,433.55,433.82,434.98,432.76,86.2490136,1
2016-01-02 00:00:00,434.87,434.37,435.99,433.88,432.24701297,0
2016-01-02 01:00:00,434.44,432.17,435.79,431.5,230.25515587,1
2016-01-02 02:00:00,433.47,432.71,433.84,431.66,58.56610588,1
2016-01-02 03:00:00,431.8,433.85,433.96,431.8,84.23562104,1
2016-01-02 04:00:00,433.28,433.88,434.81,432.45,65.12382557,1
2016-01-02 05:00:00,433.31,433.89,433.89,432.88,66.89636477,0
2016-01-02 06:00:00,433.39,432.58,433.89,432.54,50.07113782,0
2016-01-02 07:00:00,432.61,431.79,433.38,431.62,83.1107521,1
2016-01-02 08:00:00,432.8,432.35,433.37,431.65,61.40105775,1
2016-01-02 09:00:00,432.17,433.42,433.92,432.13,59.84642727,0
2016-01-02 10:00:00,433.42,433.13,434.33,432.73,120.09179749,0
2016-01-02 11:00:00,433.65,432.31,433.65,432.05,21.95556408,1
2016-01-02 12:00:00,432.31,432.59,432.94,430.42,178.37720221,0
2016-01-02 13:00:00,432.69,430.89,432.69,430.51,105.93083602,1
2016-01-02 14:00:00,430.9,431.64,432.31,430.9,95.11960778,1
2016-01-02 15:00:00,431.64,432.04,432.32,431.35,57.64649456,1
2016-01-02 16:00:00,432.04,432.68,434.0,432.03,190.04652212,1
2016-01-02 17:00:00,432.81,434.3,434.97,432.81,411.89812058,0
2016-01-02 18:00:00,434.3,433.47,434.31,432.62,76.49421746,0
2016-01-02 19:00:00,433.68,433.18,433.79,432.05,121.04928191,1
2016-01-02 20:00:00,433.17,434.15,434.15,432.0,86.71776204,0
2016-01-02 21:00:00,434.05,433.77,434.2,432.69,148.54743585,0
2016-01-02 22:00:00,433.77,433.54,434.18,432.46,79.61027707,1
2016-01-02 23:00:00,433.29,433.55,434.17,432.64,86.82486914,0
2016-01-03 00:00:00,433.2,432.84,433.85,432.73,84.19828398,0
2016-01-03 01:00:00,433.07,431.0,434.09,429.27,311.67637349,1
2016-01-03 02:00:00,431.0,431.84,432.47,429.03,526.82445495,0
2016-01-03 03:00:00,431.72,431.72,432.83,430.74,35.11307476,0
2016-01-03 04:00:00,432.33,430.48,432.87,429.56,34.83850458,1
2016-01-03 05:00:00,430.32,432.4,432.4,429.91,116.04912703,0
2016-01-03 06:00:00,432.66,431.17,432.66,430.0,97.25065923,0
2016-01-03 07:00:00,431.24,430.5,432.46,429.7,104.43805246,0
2016-01-03 08:00:00,430.26,430.5,430.5,430.0,75.82148491,0
2016-01-03 09:00:00,430.5,430.21,431.38,430.0,179.39294996,1
2016-01-03 10:00:00,430.04,430.71,431.29,430.0,137.38092859,1
2016-01-03 11:00:00,430.03,430.77,430.9,430.02,35.64928623,1
2016-01-03 12:00:00,430.77,430.95,431.22,430.01,122.54082297,0
2016-01-03 13:00:00,430.58,426.6,430.67,425.91,588.50000347,0
2016-01-03 14:00:00,427.04,425.96,428.71,425.8,173.19978145,1
2016-01-03 15:00:00,425.99,428.24,428.7,425.75,130.02479144,0
